Country,Any_mandatory_MF_LF_filing,MF_deadline,MF_filing_req,MF_threshold,LF_deadline,LF_filing_req,LF_threshold,CbCr_notification_deadline,CbCr_filing_deadline,CbCr_threshold,Local_TP_reqs,Local_TP_reqs_deadline,Other
Belgium,"Yes, if thresholds met",12 months after the last day of the group’s financial year,Yes,Operating and financial income >= EUR50 million OR Balance sheet total >= EUR1 billion OR 100+ FTEs (in prior financial year),Same time as corporate tax return deadline (generally 7 months after financial year-end),Yes,Operating and financial income >= EUR50 million OR Balance sheet total >= EUR1 billion OR 100+ FTEs (in prior financial year),End of the group’s financial year (only required if information deviates from previous period),12 months after the end of the group’s financial year,Consolidated group revenue >= EUR750 million in preceding year,"Arm's-length principle (ITC), TP documentation rules (ITC, Royal Decrees, administrative guidelines). Contemporaneous, annual, stand-alone reports required for all intercompany transactions (domestic included). Documentation must be provided within 30 days upon request.",Contemporaneous preparation; available upon request (30 days to submit),"Penalties (EUR1,250-EUR25,000 for non-filing, 10%-200% for adjustments). Statute of limitations 3-6 years (10 for fraud). High audit risk, adjustments to median. APAs available (5-year term). Thin capitalization (EBITDA-based, 30% or EUR3M). Public CbCR from 2024 (EUR750M threshold)."
Benin,Yes,By time of tax audit,Yes,"Annual turnover or gross assets >= XOF1 billion, plus shareholding conditions",By time of tax audit,Yes,"Annual turnover or gross assets >= XOF1 billion, plus shareholding conditions",No notification required,31 December (within 12 months following FY),Annual consolidated turnover before tax >= XOF492 billion,"TP documentation rules exist, must be prepared contemporaneously and available at audit, stand-alone reports for MNE entities, local branches must comply, TP-specific return (in French, electronic), documentation in French.",TP return by 30 April following FY; TP documentation by time of tax audit (30-day notice if not available),"Penalties for non-compliance (XOF10m for TP return/CbCR, 0.5% of unjustified transactions for TP documentation, min XOF10m per FY). Statute of limitations is 3 years. Thin capitalization rules apply (30% EBITDA interest limit, interest rate limit, 5-year repayment, fully paid-up capital)."
Bolivia,No,Not applicable,No,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,"Local TP documentation rules (since 2015), annual preparation, stand-alone reports per entity, local language (Spanish), physical and digital format, local currency (BOB), legal representative's signature, minimum content, and Form 601 filing. Thresholds: >Bs15,000,000 (TP Study & Form 601); Bs7,500,000-Bs15,000,000 (Form 601); <Bs7,500,000 (maintain info).",120 days after fiscal year-end,"TP obligations not applicable to domestic transactions. TP regime largely based on OECD Guidelines. Penalties for non-filing/incomplete/late submission (5,000 UFVs / 2,500 UFVs). Statute of limitations: 8 years (10 years for low/no-tax countries). Adjustments to midpoint of Bolivian range. APAs not defined. No thin capitalization rules. No Public CbCR."
Bosnia and Herzegovina,Yes (FBiH only),45 days from request (FBiH); Not applicable (RS),Yes (FBiH only),EUR750 million (FBiH); Not applicable (RS),31 March (preparation); 45 days upon request (FBiH); 30 days upon request (RS),Yes (FBiH only),Not applicable,No deadline prescribed; understood to be 12 months after FYE (FBiH); Not applicable (RS),12 months after FYE (FBiH); 31 March (preparation) - 30 days upon request (RS),EUR750 million,"CIT Law and Rulebook on TP (FBiH & RS) define arm's-length principle, methods, and documentation. Annual preparation, individual entity reports, local language required. Safe harbor in FBiH. TP-specific returns (TP 902-annual report) required. Domestic transactions covered.",31 March (preparation); 45 days upon request (FBiH); 30 days upon request (RS),OECD Guidelines largely relied upon. BEPS Action 13 adopted. BEPS Action 13 format not sufficient for penalty protection. MCAA not signed. 5-year statute of limitations. TP audits common. APAs not available. MAP available via DTTs. Thin capitalization rules apply (FBiH: 4:1 D-E; RS: 30% of tax base). No PCbCR.
Botswana,"Local File is mandatory, Master File upon request.",Upon notification from tax authority,Yes,BWP5 million,Four months after the end of the taxpayer’s financial year,Yes,BWP5 million,,,,"Income Tax (Transfer Pricing) Regulations, 2019; annual documentation required for international transactions > BWP5 million; Master File upon request, Local File with tax return; specific method hierarchy (CUP preferred) and full range use.",Four months after financial year-end for Local File; upon notification for Master File.,"OECD Guidelines are relevant. No CbCR or PCbCR. Significant penalties for non-compliance (e.g., BWP500,000 for Master File/TP documentation failure, 200% of tax for incomplete/non-contemporaneous). General statute of limitations 8 years. TP adjustments to median. APAs available in law but terms not prescribed. Thin capitalization rules for IFSC companies; 30% EBITDA limit for net interest expense."
Brazil,Yes,31 July of the year following the analysis,"Yes, from 2024, subject to threshold",R$15 million (reais) or more in controlled transactions in the preceding year,31 July of the year following the analysis,"Yes, from 2024, subject to threshold",R$15 million (reais) or more in controlled transactions in the preceding year,Last business day of July of the following year,Last business day of July of the following year,Lower of BRL2.26 billion or EUR750 million (or equivalent in BRL at 31 Jan 2015 FX rate) in previous year,"Law 14.596/2023 and IN RFB 2161/2023 (amended by IN RFB 2246/2024) provide detailed mandatory regulations aligned with OECD framework, effective 2024. Includes Master File, Local File, and CbCR requirements, with specific thresholds and formats. Annual TP calculations and reporting in corporate income tax return are mandatory.","31 July of the year following the analysis (for TP return, Local File, Master File, CbCR, CbCR notification)",New OECD-aligned TP rules mandatory from 2024 (optional early adoption 2023). Local language (Portuguese) for TP documentation/Local File; Master File in English/Spanish. Safe harbor for low-value-added services. Individual transaction testing preferred. APAs introduced (regulations pending); MAP available. Thin capitalization rules apply. Significant penalties for non-compliance. TP audits common in specific industries.
Bulgaria,"No, only upon request",June 30 of the second year following fiscal year end,"No, only upon request","Applies if at least two of the following are met: annual net sales >= BGN76M (EUR38M), assets > BGN38M (EUR19M), average employee headcount > 250",June 30 of the following year,"No, only upon request","Applies if at least two of the following are met: annual net sales >= BGN76M (EUR38M), assets > BGN38M (EUR19M), average employee headcount > 250",December 31 of the fiscal year,December 31 of the following year,"BGN1,467 million (EUR750 million) consolidated revenue","Mandatory annual TP documentation (Master File and Local File) for large taxpayers meeting specific thresholds, to be prepared contemporaneously and provided upon request. Local File must document transactions exceeding specific monetary thresholds. Economic analysis and local language translation required. Related-party disclosures in CIT return and financial statements. CbCR notification required. Based on Various Income Tax Acts and rulings.",June 30 of the following year,"Penalties for non-submission of Master File (BGN5,000-BGN10,000) and Local File (up to 0.5% of transaction volume). Statute of limitations is 5 years. APAs not available, MAP is available. Thin capitalization rules apply. Public CbCR applies from Jan 1, 2025, for MNEs with global consolidated income > BGN1.5 billion (EUR750 million)."
Burkina Faso,No,Not applicable,Yes,XOF1 billion,Not applicable,Yes,XOF1 billion,Not applicable,31 December,EUR748 million,"Comprehensive TP documentation (Master File, Local File, CbCR) required, based on General Tax Code and Ministry of Finance decree. Must be prepared contemporaneously, annually, in French, and available upon audit. Specific TP return required. Domestic transactions covered.","TP return: 30 April or 31 May. Local File: Prepared contemporaneously, available by tax audit, submitted within 30 days upon request.","Penalties for non-compliance (documentation, CbCR, TP return) apply. Statute of limitations is 3 years, extendable to 5 years. APAs and MAP are available. Thin capitalization rules apply. No CbCR notification required."
Cambodia,"Local File Yes, Master File No",Not applicable,No,Not specified,No statutory deadline for preparation/submission; 7 working days upon request,Yes,Effective 1 Jan 2025: Annual turnover < KHR8bn (USD2m) AND total assets < KHR4bn (USD1m) AND related party transactions < KHR1bn (USD250k) (excluding loans),Not specified,Not applicable,Not specified,"Annual TP documentation required, prepared contemporaneously with benchmarking. Stand-alone reports for each entity. Related-party disclosure (Annex 1) with CIT return.","TP documentation: No specified deadline for preparation/submission, 7 working days upon request. Related-party disclosure (Annex 1): 90 days after fiscal year-end (with CIT return).","Penalties for non-compliance (KHR10m fine for non-maintenance, 10-40% of underdeclared amount, 1.5% monthly interest). Statute of limitations: 3 years (10 years for fraud). TP adjustments to median if outside arm's-length range. Thin capitalization: interest deduction capped at 50% of EBIT + interest income."
Canada,No,,No,,,No,,,12 months after fiscal year-end,EUR750 million,"Contemporaneous annual documentation required, submitted upon CRA request (within 3 months). Stand-alone reports for each entity. T-106 information return required for transactions exceeding CAD1 million.",6 months after year-end for corporations; 5 months after year-end for partnerships,Penalties apply if adjustments exceed lesser of 10% of gross revenue or CAD5 million. Statute of limitations is 7 years for non-arm's-length nonresident transactions. Thin capitalization rules limit interest deductibility to debt 1.5x equity for related nonresidents.
Cape Verde,No,,No,,,No,,31 May (last day of fifth month following fiscal year-end),31 December (end of 12th month following fiscal year-end),EUR750 million annual global income,"Yes, contemporaneous and annual TP documentation required for entities meeting turnover/tax thresholds (e.g., CVE300m turnover) and specific entity types. Stand-alone reports for MNE entities. Documentation in Portuguese. Individual testing preferred. TP-specific return required.","TP return by 31 July (7 months after year-end); documentation prepared by end of seventh month after year-end, submitted upon request.","TP rules apply to domestic transactions. Limited OECD Guidelines reliance. BEPS Action 13 not fully adopted (no Master/Local File). Penalties CVE100,000-CVE2.5 million. Statute of limitations 5 years. MAP available under specific DTAs. No thin capitalization or Public CbCR."
Chad,No,,No,,30 April (or 15 May if extended),No,,,,,"Yes, local TP documentation required for foreign intercompany transactions. Applicable for companies with turnover >= XAF500 million (documentation) or < XAF500 million (annual return). Stand-alone reports for each entity. Must be in French or Arabic. Specific annual TP return and related-party disclosures required.",30 April (or 15 May if extended),"Chad largely relies on OECD TP Guidelines but has not adopted BEPS Action 13. Penalties for non-compliance include rejection of deductibility and fines (5% of intragroup transactions, min XAF50 million). Late submission penalties apply. Statute of limitations is 3 years. Unilateral and multilateral APAs are available. Thin capitalization rules limit interest deductibility for related-party loans."
Chile,"Yes, for certain MNE entities meeting specific criteria.",30 June (with possible 3-month extension),"Yes, for headquarter entities of Chilean MNE groups with EUR750 million annual global income that are obligated to submit CbCR in Chile.",EUR750 million annual global income and obligated to submit CbCR in Chile.,Last business day of June (with possible 3-month extension),"Yes, for large taxpayers, those with related-party transactions > CLP200 million, and belonging to an MNE obligated to submit CbCR in any jurisdiction.","Large taxpayer classification, related-party transactions > CLP200 million, and belonging to an MNE obligated to submit CbCR in any jurisdiction.",30 June,30 June (with possible 3-month extension),EUR750 million annual global income,Article 41E of the ITL governs cross-border related party transactions. Documentation is always recommended and mandatory for certain large taxpayers or MNEs with significant related-party transactions. Annual transfer pricing returns (Form 1907) are required for specific entities.,Last business day of June for Form 1907; documentation prepared contemporaneously and submitted upon request (within 30 days).,"OECD Guidelines largely relied upon. Domestic transactions subject to SII assessment. Penalties for non-compliance with forms (1907, 1937, 1950, 1951) range from USD10,000-USD50,000, capped at 15% of tax equity. A 40% penalty (plus potential 5%) applies to TP adjustments. Statute of limitations is 3-6 years. APAs and MAP are available. Spanish is the default language for documentation."
China Mainland,No,Within 12 months after FYE of UPE,No,RMB1 billion annual RPTs OR UPE prepared MF and cross-border RPTs,30 June of following year,No,RMB200m tangible asset transfers OR RMB100m financial asset transfers OR RMB100m intangible asset transfers OR RMB40m other RPTs,31 May (via RPT forms),31 May,RMB5.5 billion annual global income,"Comprehensive TP documentation (MF, LF, CbCR, Special Item Files) based on Bulletin 42, annual preparation, local language (Chinese). Emphasis on LSAs, local intangibles, intragroup services. RPT forms required. OECD methods accepted, local comparables preferred. Thin capitalization rules.",MF: Within 12 months after FYE of UPE; LF & Special Item Files: 30 June of following year; CbCR & RPT forms: 31 May; Documentation submission: 30 days upon request.,"Domestic TP rules apply (with exemption). Penalties for non-compliance (fines, 5% interest surcharge, deemed income). Statute of limitations up to 10 years. TP audits common, focus on LSAs, intangibles, services, financing. APAs (unilateral, bilateral, multilateral) and MAPs available. No PCbCR."
Colombia,Yes,"9 September to 22 September (for FY2024, due 2025)",Required for entities meeting Local File requirements and belonging to a multinational group.,"Linked to Local File thresholds: transaction thresholds (COP2,117,925,000 or COP470,650,000 for low-tax jurisdictions) and entity thresholds (gross equity >= COP4,706,500,000 or gross revenues >= COP2,870,965,000).","9 September to 22 September (for FY2024, due 2025)","Required if transactions with foreign related parties or local free trade zone related parties exceed COP2,117,925,000 AND gross equity >= COP4,706,500,000 OR gross revenues >= COP2,870,965,000. Also, if transactions with low-tax jurisdictions exceed COP470,650,000 (regardless of equity-revenue).","Transaction thresholds: COP2,117,925,000 (related parties) or COP470,650,000 (low-tax jurisdictions). Entity thresholds: Gross equity >= COP4,706,500,000 or Gross revenues >= COP2,870,965,000 (for related party transactions).","9 September to 22 September (for FY2024, due 2024 if separate filing)","12 December (for FY2024, due 2025)","COP3,812,265,000,000 (annual global income)","Annual preparation and submission of Local File and Master File (if thresholds met), demonstrating arm's length principle for transactions with foreign related parties, local free trade zone related parties, and parties in low-tax jurisdictions. A specific transfer pricing informative return must also be filed.","9 September to 22 September (for FY2024, due 2025)","OECD guidelines are reference, not binding. Domestic TP rules apply to free trade zones. Local File in Spanish, Master File can be English-Spanish (translation possible). No penalty protection. Thin capitalization 2:1 debt-to-equity. Statute of limitations 5 years. APAs available (1 year prior, current year, 3 years after)."
Congo Brazzaville,Yes (Local File),,No,Not applicable,20 November,Yes,XAF500 million turnover or gross assets,Not applicable,20 November,XAF500 million turnover or gross assets,"Annual Local File and TP return (DAPT) required for each entity, in French. Based on General Tax Code, Articles 120 to 120 I.",20 November,"TP audits expected to increase from 2024. Penalties for non-compliance include XAF25 million for incomplete documentation, XAF5 million for CbCR/TP return failures. Statute of limitations is 4 years. No APAs or MAPs."
Costa Rica,"No, only upon request",Upon request (10 working days),Yes,No threshold,Upon request (10 working days),Yes,No threshold,Last working day of March,31 December (following reporting FY),EUR750 million,Various Income Tax Acts and rulings,"TP return suspended; TP documentation prepared annually, no specific deadline",TP documentation in Spanish; domestic TP documentation required; OECD Guidelines are reference but local regulations prevail; penalties for non-compliance apply by default; adjustments to median of interquartile range; thin capitalization rule (20% EBITDA interest deduction limit)
Cote d’Ivoire,Yes,"By time of tax audit, within one month of request",Yes,"Annual turnover > XOF500 million (EUR762,245)","By time of tax audit, within one month of request",Yes,"Annual turnover > XOF500 million (EUR762,245)",Not applicable,31 December (12 months after fiscal year-end),"Consolidated group revenue > EUR381,122,543 (XOF250 billion)","TP documentation (Master File & Local File) required for companies with annual turnover > XOF500 million (EUR762,245), prepared contemporaneously and annually, in French, submitted upon tax audit request (within one month). Stand-alone reports for each entity. A TP-specific return is also required.","TP documentation: By time of tax audit, within one month of request. TP return: 30 June (for certified financial statements) or 30 May (for others).","Statute of limitations: 3 years. No APAs or MAPs. Thin capitalization rules apply (loan amount <= share capital, interest <= central bank rate + 2%, repayment within 5 years, etc.). No Public CbCR. Penalties for TP documentation (0.5% of transactions, min XOF10 million), CbCR (XOF5 million for failure, XOF2 million for errors), and TP return (XOF5 million + XOF100,000/month late, deductibility denial)."
Croatia,No,Not applicable,No,Not defined,30 April,No,No materiality limit,30 April,31 December,EUR750 million,"Documentation guidelines exist, must be prepared contemporaneously and annually in Croatian for each entity, including domestic transactions with favorable tax positions. Information about the Group and local taxpayer must be maintained. A PD-IPO form is filed with the CIT return. Documentation is submitted upon request (8 days).",30 April,OECD Guidelines largely followed. Safe harbor for intercompany loans. APAs and MAP available. Thin capitalization (4:1 debt-to-equity) and interest limitation (30% EBITDA or EUR3M) rules apply. Public CbCR from 2024 (EUR750M threshold). Statute of limitations 6 years for cross-border TP. Penalties for non-furnishing CbCR and CIT underestimation.
Cyprus,"No formal submission, but preparation required for both Master File and Local File.",Preparation by CIT return deadline (15 months from FY-end); submission within 60 days upon request.,Yes,"EUR750 million annual global income, and Cypriot taxpayer is UPE or SPE of MNE group with CbCR obligation.",Preparation by CIT return deadline (15 months from FY-end); submission within 60 days upon request.,Yes,"EUR5 million for financing transactions; EUR1 million for other categories (Goods, Services, Royalties, Other Intangibles, Other).","Last day of the reporting fiscal year (e.g., 31 December for calendar year-end).","12 months from the end of the fiscal year (e.g., 31 December for calendar year-end).",EUR750 million annual global income in the previous fiscal year.,"Based on Section 33 of the Cyprus Income Tax Law (L 118(I) of 2002, as amended) and Regulation Κ.Δ.Π. 314/ 2022. Follows OECD BEPS Action 13 three-tier approach.",By CIT return deadline (15 months from FY-end) for preparation of documentation and SIT form submission.,"Late filing penalties apply for Master File, Local File, CbCR, and SIT. Safe harbor rules available for certain financing and low value-adding services. APAs and MAP available. Public CbCR applies from FYs starting on or after 22 June 2024 for groups with EUR750 million consolidated revenue in last two consecutive FYs."
Czech Republic,No,,No,,15-30 days upon request,No,,End of the respective year (if changes occurred),12 months after year-end,EUR750 million,"Annual TP documentation preparation (de facto required for audits), related-party disclosures with CITR and financial statements, local language preferred, individual transaction testing, thin capitalization rules. Legislative references: Czech Income Tax Act and Directives D-10, D-34, D-32, D-334.",15-30 days upon request,"No penalty protection. PCbCR applies from June 2024 (EUR750m threshold). APAs and MAP available. Statute of limitations 3 years (extendable). TP audits common, focus on specific transactions. Penalties for CbCR, CbCR notification, and TP appendix non-filing. General penalties for TP adjustments."
Democratic Republic of Congo (DRC),No,By time of tax audit (kept in-house),No,,20 days upon request,No,USD 1 million (Minimum Annual Revenue Excluding Taxes),,EUR750 million,"Various Income Tax Acts and rulings, including Law n° 004/2003 and Ordinance-Law No. 69/009, covering documentation, filing, APAs, and profit reintegration.",TP return by 30 June; documentation by time of tax audit or 20 days upon request.,"TP documentation in French, individual testing preferred. Penalties for non-declaration of TP documentation: CDF500,000 per day of delay. APAs available. Thin capitalization rules apply. Statute of limitations: 5 years.",
Denmark,"Yes, for financial years starting on or after 1 January 2021",60 days after corporate tax return deadline,Yes,Group < 250 FTE employees AND (< DKK125m assets OR < DKK250m revenue) (updated to DKK195m/DKK391m from 2025). De minimis for 2025+: < DKK5m transactions AND < DKK50m receivables/debt (with exceptions).,60 days after corporate tax return deadline,Yes,Group < 250 FTE employees AND (< DKK125m assets OR < DKK250m revenue) (updated to DKK195m/DKK391m from 2025). De minimis for 2025+: < DKK5m transactions AND < DKK50m receivables/debt (with exceptions).,End of financial year,12 months after financial year-end,DKK5.6 billion (EUR750 million) annual global income,"Arm's-length principle, contemporaneous and annual TP documentation (Master File, Local File) filing (from 2021), annual related-party disclosures in tax return. Governed by Tax Assessment Act, Tax Control Act, and Executive Order No. 468 of 2022.",60 days after corporate tax return deadline,"Penalties DKK250,000 per entity per year for non-compliance. Statute of limitations 1 May of 6th year after FY. Thin capitalization rules (4:1 debt-to-equity, DKK10m controlled debt, interest/EBITDA limits). Public CbCR from FYs starting 22 June 2024 (DKK5.6bn global income). Domestic transaction documentation exemption from 2021 (with exceptions)."
Dominican Republic,Yes,180 days after transfer pricing informative return deadline,Yes,"DOP12,193,981.70 (adjusted annually by inflation) in intercompany transactions",180 days after transfer pricing informative return (DIOR) deadline,Yes,"DOP12,193,981.70 (adjusted annually by inflation) in intercompany transactions",Last day of MNE's reporting tax year (for UPE/reporting entity status); 3 months before MNE's reporting tax year-end (for non-UPE/reporting entity to notify reporting entity details),No later than 12 months after the fiscal year end of the MNE,DOP38.8 billion annual global income,"Annual TP documentation (Local File, Master File), annual TP informative return (DIOR), local language requirement, specific methods, interquartile range, annual benchmarking search. Applicable to domestic transactions if tax liability reduced or deferred.",TP informative return (DIOR) due 120 days after FY closing; TP documentation (Local/Master File) due 180 days after DIOR deadline.,Unreliant on OECD TP Guidelines; BEPS Action 13 adopted; MCAA signatory; Domestic TP rules apply if tax liability reduced/deferred; Statute of limitations 3-5 years; APAs available; Thin capitalization ratio 3:1 debt-to-equity; Penalties apply for non-compliance; Adjustments to median of interquartile range.
